1/a,question-num,sub-question-num,cycle,corrections(0:correct 1:miss 2:unknown solution),note
1,174,1,1,1,count miss
1,174,1,1,0,---
1,175,1,1,0,---
1,175,2,1,0,---
1,175,3,1,0,---
1,176,1,2,1,得点が整数で計算されている問題
1,176,2,1,0,---
1,177,-,1,1,---
1,178,1,1,1,---
1,178,2,1,1,---
1,178,3,1,1,---
1,179,-,1,0,---
1,180,-,1,1,---
1,181,1,1,0,---
1,181,2,1,0,---
1,182,1,1,0,---
1,183,-,2,1,公式を使って考える
1,184,1,1,0,---
1,184,2,1,0,---
1,184,3,1,2,公式を使って考える
1,185,1,1,2,公式を使う
1,185,2,1,2,公式を使う
1,185,3,1,0,公式を使う
1,185,4,1,2,公式を使う
1,186,1,1,0,仮平均
1,186,2,1,2,---
1,187,1,1,0,---
1,187,2,1,0,---
1,187,3,1,0,---
1,188,-,1,0,---
1,189,1,1,0,---
1,p175,1,1,0,---
1,p175,2,1,0,---
1,p176,1,1,0,---
1,p176,2,1,0,---
1,p177,-,1,1,---
1,p178,-,1,0,---
1,p179,-,1,1,---
1,p180,-,1,0,---
1,p181,1,1,0,---
1,p181,1,1,2,---
1,p181,2,1,0,---
1,p182,1,1,2,---
1,p183,1,1,0,---
1,p183,2,1,2,---
1,p184,1,1,0,---
1,p184,1,2,0,---
1,p185,-,1,0,---
1,p186,1,1,0,---
1,p186,2,1,1,---
1,p188,-,1,0,---
1,p189,1,1,0,---
1,p189,2,1,2,---
1,p190,1,1,0,---
1,p190,2,1,0,---
1,p191,-,1,0,---
1,p192,1,1,0,---
1,p192,2,1,0,---
1,p193,-,1,1,---
1,p194,1,1,0,---
1,p194,1,1,0,---
1,190,1,1,2,平均の公式の考え方
1,191,-,1,2,---
1,192,1,1,2,---
1,192,2,1,2,---
1,193,-,1,0,---
1,194,1,1,2,---
1,194,1,1,2,---
