1/a,question-num,sub-question-num,cycle,corrections(0:correct 1:miss 2:unknown solution),note
1,174,1,1,1,count miss
1,174,1,1,0,---
1,175,1,1,0,---
1,175,2,1,0,---
1,175,3,1,0,---
1,176,1,2,1,得点が整数で計算されている問題
1,176,2,1,0,---
1,177,-,1,1,---
1,178,1,1,1,---
1,178,2,1,1,---
1,178,3,1,1,---
1,179,-,1,0,---
1,180,-,1,1,---
1,181,1,1,0,---
1,181,2,1,0,---
1,182,1,1,0,---
1,183,-,2,1,公式を使って考える
1,184,1,1,0,---
1,184,2,1,0,---
1,184,3,1,2,公式を使って考える
1,185,1,1,2,公式を使う
1,185,2,1,2,公式を使う
1,185,3,1,0,公式を使う
1,185,4,1,2,公式を使う
1,186,1,1,0,仮平均
1,186,2,1,2,---
1,187,1,1,0,---
1,187,2,1,0,---
1,187,3,1,0,---
1,188,-,1,0,---
1,189,1,1,0,---
1,p175,1,1,0,---
1,p175,2,1,0,---
1,p176,1,1,0,---
1,p176,2,1,0,---
1,p177,-,1,1,---
1,p178,-,1,0,---
1,p179,-,1,1,---
1,p180,-,1,0,---
1,p181,1,1,0,---
1,p181,1,1,2,---
1,p181,2,1,0,---
1,p182,1,1,2,---
1,p183,1,1,0,---
1,p183,2,1,2,---
1,p184,1,1,0,---
1,p184,1,2,0,---
1,p185,-,1,0,---
1,p186,1,1,0,---
1,p186,2,1,1,---
1,p188,-,1,0,---
1,p189,1,1,0,---
1,p189,2,1,2,---
1,p190,1,1,0,---
1,p190,2,1,0,---
1,p191,-,1,0,---
1,p192,1,1,0,---
1,p192,2,1,0,---
1,p193,-,1,1,---
1,p194,1,1,0,---
1,p194,1,1,0,---
1,190,1,1,2,平均の公式の考え方
1,191,-,1,2,---
1,192,1,1,2,---
1,192,2,1,2,---
1,193,-,1,0,---
1,194,1,1,2,---
1,194,1,1,2,---
1,2,1,1,0,---
1,2,2,1,0,---
1,2,3,1,0,---
1,2,4,1,1,---
1,3,1,1,0,---
1,3,2,1,0,---
1,3,3,1,0,---
1,3,4,1,0,---
1,4,1,1,0,---
1,4,2,1,0,---
1,5,1,1,0,---
1,5,2,1,0,---
1,5,3,1,0,---
1,5,4,1,0,---
1,5,5,1,0,---
1,5,6,1,0,---
1,6,1,1,0,---
1,6,2,1,0,---
1,6,3,1,0,---
1,6,4,1,0,---
1,7,1,1,0,---
1,7,2,1,0,---
1,7,3,1,0,---
1,8,1,1,0,---
1,8,2,1,0,---
1,8,3,1,0,---
1,9,1,1,0,---
1,9,2,1,2,---
1,9,3,1,2,---
1,12,1,1,0,---
1,12,2,1,0,---
1,12,3,1,0,---
1,12,4,1,0,---
1,13,1,1,0,---
1,13,2,1,0,---
1,13,3,1,0,---
1,13,4,1,2,---
1,14,1,1,0,---
1,14,2,1,0,---
1,14,3,1,2,---
1,15,1,1,0,---
1,15,2,1,0,---
1,15,3,1,0,---
1,16,1,1,2,---
1,16,2,1,0,---
1,17,1,1,1,---
1,17,1,2,2,---
1,18,1,1,2,---
1,18,2,1,2,---
1,19,1,1,0,---
1,19,2,1,0,---
1,19,3,1,0,---
1,20,1,1,2,---
1,20,2,1,2,---
1,24,1,1,0,---
1,24,2,1,0,---
1,24,3,1,1,---
1,24,4,1,0,---
1,25,1,1,0,---
1,25,2,1,0,---
1,25,3,1,0,---
1,26,1,1,0,---
1,26,2,1,0,---
1,26,3,1,0,---
1,26,4,1,2,---
1,27,1,1,1,---
1,27,2,1,1,---
1,28,-,1,0,---
1,29,1,1,0,---
1,29,2,1,0,---
1,30,1,1,0,---
1,30,2,1,0,---
1,30,3,1,2,---
1,31,1,1,0,---
1,32,2,1,2,---
1,2,1,1,0,---
1,2,2,1,0,---
1,2,3,1,0,---
1,2,4,2,0,---
1,3,1,1,0,---
1,3,2,1,0,---
1,3,3,1,0,---
1,3,4,1,0,---
1,4,1,1,0,---
1,4,2,1,0,---
1,5,1,1,0,---
1,5,2,1,0,---
1,5,3,1,0,---
1,5,4,1,0,---
1,5,5,1,0,---
1,5,6,1,0,---
1,6,1,1,0,---
1,6,2,1,0,---
1,6,3,1,0,---
1,7,1,1,0,---
1,7,2,1,0,---
1,7,3,1,0,---
1,8,1,1,0,---
1,8,3,1,1,---
1,9,1,1,0,---
1,9,2,1,1,---
1,9,3,1,1,---
1,12,1,1,0,---
1,12,2,1,0,---
1,12,3,1,0,---
1,12,4,1,0,---
1,13,1,1,0,---
1,13,2,1,0,---
1,13,3,1,0,---
1,13,4,1,2,---
1,14,1,1,0,---
1,14,2,1,0,---
1,14,3,1,2,---
1,15,1,1,0,---
1,15,2,1,0,---
1,16,1,1,0,---
1,16,2,1,0,---
1,17,1,1,1,---
1,17,2,1,2,---
1,18,1,1,2,---
1,18,2,1,2,---
1,19,1,1,0,---
1,19,2,1,0,---
1,19,3,1,0,---
1,20,1,1,2,---
1,20,2,1,2,---
1,24,1,1,0,---
1,24,2,1,0,---
1,24,3,1,1,---
1,24,4,1,0,---
1,25,1,1,0,---
1,25,2,1,0,---
1,25,3,1,0,---
1,26,1,1,0,---
1,26,2,1,0,---
1,26,3,1,0,---
1,26,4,1,0,---
1,27,1,1,1,---
1,27,2,1,1,---
1,28,-,1,0,---
1,29,1,1,0,---
1,29,2,1,0,---
1,30,1,1,0,---
1,30,2,1,0,---
1,30,3,1,2,---
1,31,1,1,0,---
1,31,2,1,2,---
1,32,1,1,0,---
1,32,2,1,0,---
1,32,3,1,0,---
1,32,4,1,0,---
1,32,5,1,2,---
1,33,1,1,0,---
1,33,2,1,2,---
1,34,1,1,0,---
1,34,2,1,0,---
1,34,3,1,0,---
1,34,4,1,0,---
1,35,1,1,0,---
1,35,2,1,0,---
1,35,3,1,0,---
1,36,1,1,0,---
1,37,1,1,0,---
1,37,2,1,0,---
1,38,1,1,0,---
1,38,2,1,0,---
1,39,-,1,0,---
1,40,1,1,0,---
1,40,2,1,0,---
1,40,3,1,0,---
1,40,4,1,0,---
1,41,1,1,2,---
1,41,2,1,0,---
1,42,1,1,0,---
1,42,2,1,0,---
1,43,1,1,0,---
1,43,2,1,0,---
